sep=,
time,model_id,model_name,port_name,data
0,1,demand_src,,0
0,2,wind_speed_src,,0
0,3,storage,,{stored:500kWh, balance:1,demand:0KW}
0,4,irradiance_src,,0
0,6,wind,,Power: 0
0,7,solar,,Power: 0
0,1,demand_src,out,100
0,1,demand_src,,1
0,2,wind_speed_src,out,3.2
0,2,wind_speed_src,,1
0,3,storage,outStatus,1
0,3,storage,,{stored:400kWh, balance:0.4,demand:100KW}
0,4,irradiance_src,out,0
0,4,irradiance_src,,1
0,6,wind,power_out,0
0,6,wind,,Power: 63.0211
0,7,solar,power_out,0
0,7,solar,,Power: 0
0,3,storage,outStatus,0.4
0,3,storage,,{stored:363.021kWh, balance:0.363021,demand:100KW}
0,6,wind,power_out,63.0211
0,6,wind,,Power: 63.0211
0,7,solar,power_out,0
0,7,solar,,Power: 0
0,3,storage,outStatus,0.363021
0,3,storage,,{stored:363.021kWh, balance:0.363021,demand:100KW}
1,1,demand_src,out,110
1,1,demand_src,,1
1,2,wind_speed_src,out,3.5
1,2,wind_speed_src,,1
1,3,storage,,{stored:363.021kWh, balance:0.363021,demand:110KW}
1,4,irradiance_src,out,0
1,4,irradiance_src,,1
1,6,wind,,Power: 82.4593
1,7,solar,,Power: 0
1,3,storage,outStatus,0.363021
1,3,storage,,{stored:335.48kWh, balance:0.33548,demand:110KW}
1,6,wind,power_out,82.4593
1,6,wind,,Power: 82.4593
1,7,solar,power_out,0
1,7,solar,,Power: 0
1,3,storage,outStatus,0.33548
1,3,storage,,{stored:335.48kWh, balance:0.33548,demand:110KW}
2,1,demand_src,out,120
2,1,demand_src,,1
2,2,wind_speed_src,out,3.8
2,2,wind_speed_src,,1
2,3,storage,,{stored:335.48kWh, balance:0.33548,demand:120KW}
2,4,irradiance_src,out,0
2,4,irradiance_src,,1
2,6,wind,,Power: 105.533
2,7,solar,,Power: 0
2,3,storage,outStatus,0.33548
2,3,storage,,{stored:321.013kWh, balance:0.321013,demand:120KW}
2,6,wind,power_out,105.533
2,6,wind,,Power: 105.533
2,7,solar,power_out,0
2,7,solar,,Power: 0
2,3,storage,outStatus,0.321013
2,3,storage,,{stored:321.013kWh, balance:0.321013,demand:120KW}
3,1,demand_src,out,130
3,1,demand_src,,1
3,2,wind_speed_src,out,4.1
3,2,wind_speed_src,,1
3,3,storage,,{stored:321.013kWh, balance:0.321013,demand:130KW}
3,4,irradiance_src,out,0
3,4,irradiance_src,,1
3,6,wind,,Power: 132.552
3,7,solar,,Power: 0
3,3,storage,outStatus,0.321013
3,3,storage,,{stored:323.565kWh, balance:0.323565,demand:130KW}
3,6,wind,power_out,132.552
3,6,wind,,Power: 132.552
3,7,solar,power_out,0
3,7,solar,,Power: 0
3,3,storage,outStatus,0.323565
3,3,storage,,{stored:323.565kWh, balance:0.323565,demand:130KW}
4,1,demand_src,out,145
4,1,demand_src,,1
4,2,wind_speed_src,out,4.4
4,2,wind_speed_src,,1
4,3,storage,,{stored:323.565kWh, balance:0.323565,demand:145KW}
4,4,irradiance_src,out,150
4,4,irradiance_src,,1
4,6,wind,,Power: 163.83
4,7,solar,,Power: 27
4,3,storage,outStatus,0.323565
4,3,storage,,{stored:369.395kWh, balance:0.369395,demand:145KW}
4,6,wind,power_out,163.83
4,6,wind,,Power: 163.83
4,7,solar,power_out,27
4,7,solar,,Power: 27
4,3,storage,outStatus,0.369395
4,3,storage,,{stored:369.395kWh, balance:0.369395,demand:145KW}
5,1,demand_src,out,160
5,1,demand_src,,1
5,2,wind_speed_src,out,4.8
5,2,wind_speed_src,,1
5,3,storage,,{stored:369.395kWh, balance:0.369395,demand:160KW}
5,4,irradiance_src,out,450
5,4,irradiance_src,,1
5,6,wind,,Power: 212.696
5,7,solar,,Power: 81
5,3,storage,outStatus,0.369395
5,3,storage,,{stored:503.091kWh, balance:0.503091,demand:160KW}
5,6,wind,power_out,212.696
5,6,wind,,Power: 212.696
5,7,solar,power_out,81
5,7,solar,,Power: 81
5,3,storage,outStatus,0.503091
5,3,storage,,{stored:503.091kWh, balance:0.503091,demand:160KW}
6,1,demand_src,out,200
6,1,demand_src,,1
6,2,wind_speed_src,out,5
6,2,wind_speed_src,,1
6,3,storage,,{stored:503.091kWh, balance:0.503091,demand:200KW}
6,4,irradiance_src,out,1200
6,4,irradiance_src,,1
6,6,wind,,Power: 240.406
6,7,solar,,Power: 216
6,3,storage,outStatus,0.503091
6,3,storage,,{stored:759.498kWh, balance:0.759498,demand:200KW}
6,6,wind,power_out,240.406
6,6,wind,,Power: 240.406
6,7,solar,power_out,216
6,7,solar,,Power: 216
6,3,storage,outStatus,0.759498
6,3,storage,,{stored:759.498kWh, balance:0.759498,demand:200KW}
7,1,demand_src,out,220
